name,base_model,stage,category,instruction,language,source,task_id
Multilingual Convex Conjecture Scale 1,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.83, 0.36, 0.03, 0.83] and x2=[0.35, 0.77, 0.36, 0.86], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_001
Multilingual Convex Conjecture Scale 2,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.95, 0.76, 0.14, 0.87] and x2=[0.49, 0.89, 0.8, 0.43], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_002
Multilingual Convex Conjecture Scale 3,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.51, 0.74, 0.7, 0.4] and x2=[0.22, 0.65, 0.42, 0.13], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.25. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_003
Multilingual Convex Conjecture Scale 4,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.17, 0.27, 0.02, 0.91] and x2=[0.12, 0.58, 0.27, 0.55], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.25. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_004
Multilingual Convex Conjecture Scale 5,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.5, 0.72, 0.11, 0.14] and x2=[0.26, 0.27, 0.73, 0.25], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.25. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_005
Multilingual Convex Conjecture Scale 6,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.67, 0.18, 0.91, 0.42] and x2=[0.38, 0.52, 0.05, 0.17], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_006
Multilingual Convex Conjecture Scale 7,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.18, 0.09, 0.77, 0.07] and x2=[0.84, 0.44, 0.92, 0.72], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_007
Multilingual Convex Conjecture Scale 8,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.95, 0.4, 0.95, 0.14] and x2=[0.48, 0.27, 0.54, 0.16], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_008
Multilingual Convex Conjecture Scale 9,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.85, 0.96, 0.15, 0.62] and x2=[0.47, 0.34, 0.35, 0.41], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.25. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_009
Multilingual Convex Conjecture Scale 10,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.69, 0.43, 0.25, 0.82] and x2=[0.8, 0.69, 0.27, 0.59], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_010
Multilingual Convex Conjecture Scale 11,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.31, 0.81, 0.96, 0.79] and x2=[0.69, 0.52, 0.09, 0.96], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_011
Multilingual Convex Conjecture Scale 12,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.73, 0.81, 0.66, 0.69] and x2=[0.85, 0.25, 0.49, 0.22], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_012
Multilingual Convex Conjecture Scale 13,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.05, 0.67, 0.04, 0.59] and x2=[1.0, 0.56, 0.47, 0.31], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_013
Multilingual Convex Conjecture Scale 14,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.7, 0.3, 0.92, 0.97] and x2=[0.94, 0.47, 0.86, 0.84], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_014
Multilingual Convex Conjecture Scale 15,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.52, 0.64, 0.65, 0.36] and x2=[0.56, 0.48, 0.88, 0.53], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_015
Multilingual Convex Conjecture Scale 16,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.72, 0.07, 0.32, 0.54] and x2=[0.79, 0.32, 0.63, 0.89], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_016
Multilingual Convex Conjecture Scale 17,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.88, 0.42, 0.46, 0.99] and x2=[0.0, 0.19, 0.38, 0.93], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_017
Multilingual Convex Conjecture Scale 18,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[1.0, 0.35, 0.77, 0.4] and x2=[0.48, 0.63, 0.87, 0.98], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_018
Multilingual Convex Conjecture Scale 19,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.09, 0.34, 0.52, 0.73] and x2=[0.0, 0.47, 0.3, 0.85], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_019
Multilingual Convex Conjecture Scale 20,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.23, 0.04, 0.02, 0.99] and x2=[0.43, 0.38, 0.68, 0.22], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_020
Multilingual Convex Conjecture Scale 21,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.8, 0.26, 0.59, 0.98] and x2=[0.88, 0.6, 0.9, 0.99], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_021
Multilingual Convex Conjecture Scale 22,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.99, 0.23, 0.94, 0.65] and x2=[0.61, 0.51, 0.23, 0.18], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.5. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_022
Multilingual Convex Conjecture Scale 23,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.04, 0.96, 0.83, 0.8] and x2=[0.63, 0.22, 0.52, 0.6], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.25. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_023
Multilingual Convex Conjecture Scale 24,Qwen/Qwen3.8-27B,mid_training,convex_conjecture,"Given states x1=[0.17, 0.4, 0.76, 0.7] and x2=[0.15, 0.82, 0.22, 0.22], verify the convex conjecture inequality for the interoperability function I(x) with lambda=0.75. Calculate the convexity residual R_convex.",english,synthetic,mid_training_english_scale24_convex_conjecture_024
Multilingual Trajectory Analysis Scale 1,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_001
Multilingual Trajectory Analysis Scale 2,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_002
Multilingual Trajectory Analysis Scale 3,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_003
Multilingual Trajectory Analysis Scale 4,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_004
Multilingual Trajectory Analysis Scale 5,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_005
Multilingual Trajectory Analysis Scale 6,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_006
Multilingual Trajectory Analysis Scale 7,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_007
Multilingual Trajectory Analysis Scale 8,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_008
Multilingual Trajectory Analysis Scale 9,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_009
Multilingual Trajectory Analysis Scale 10,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_010
Multilingual Trajectory Analysis Scale 11,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_011
Multilingual Trajectory Analysis Scale 12,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_012
Multilingual Trajectory Analysis Scale 13,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_013
Multilingual Trajectory Analysis Scale 14,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_014
Multilingual Trajectory Analysis Scale 15,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_015
Multilingual Trajectory Analysis Scale 16,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_016
Multilingual Trajectory Analysis Scale 17,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_017
Multilingual Trajectory Analysis Scale 18,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_018
Multilingual Trajectory Analysis Scale 19,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_019
Multilingual Trajectory Analysis Scale 20,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_020
Multilingual Trajectory Analysis Scale 21,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_021
Multilingual Trajectory Analysis Scale 22,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_022
Multilingual Trajectory Analysis Scale 23,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_023
Multilingual Trajectory Analysis Scale 24,Qwen/Qwen3.8-27B,mid_training,trajectory_analysis,"Analyze the system state trajectory x(t) = [G(t), O(t), W(t), Q(t)] over t=[0,1]. Under a next-token prediction objective, minimize loss and estimate state transition sensitivity.",english,synthetic,mid_training_english_scale24_trajectory_analysis_024
Multilingual Robustness Scale 1,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_001
Multilingual Robustness Scale 2,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_002
Multilingual Robustness Scale 3,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_003
Multilingual Robustness Scale 4,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_004
Multilingual Robustness Scale 5,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_005
Multilingual Robustness Scale 6,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_006
Multilingual Robustness Scale 7,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_007
Multilingual Robustness Scale 8,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_008
Multilingual Robustness Scale 9,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_009
Multilingual Robustness Scale 10,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_010
Multilingual Robustness Scale 11,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_011
Multilingual Robustness Scale 12,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_012
Multilingual Robustness Scale 13,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_013
Multilingual Robustness Scale 14,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_014
Multilingual Robustness Scale 15,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_015
Multilingual Robustness Scale 16,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_016
Multilingual Robustness Scale 17,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_017
Multilingual Robustness Scale 18,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_018
Multilingual Robustness Scale 19,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_019
Multilingual Robustness Scale 20,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_020
Multilingual Robustness Scale 21,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_021
Multilingual Robustness Scale 22,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_022
Multilingual Robustness Scale 23,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_023
Multilingual Robustness Scale 24,Qwen/Qwen3.8-27B,mid_training,robustness,Assess mathematical robustness under state perturbations where x_perturbed = x + delta. Compute the loss variance for boundary conditions.,english,synthetic,mid_training_english_scale24_robustness_024
Multilingual Recursive Learning Scale 1,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_001
Multilingual Recursive Learning Scale 2,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_002
Multilingual Recursive Learning Scale 3,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_003
Multilingual Recursive Learning Scale 4,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_004
Multilingual Recursive Learning Scale 5,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_005
Multilingual Recursive Learning Scale 6,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_006
Multilingual Recursive Learning Scale 7,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_007
Multilingual Recursive Learning Scale 8,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_008
Multilingual Recursive Learning Scale 9,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_009
Multilingual Recursive Learning Scale 10,Qwen/Qwen3.8-27B,mid_training,recursive_learning,"Execute recursive learning iterations on the trajectory paths. Detect pattern deviation, compute loss, and generate corrective adjustments.",english,synthetic,mid_training_english_scale24_recursive_learning_010
