id_umkm,nama_usaha,jenis_usaha,omset,aset,status_legalitas,is_aligned
28828567,UD. Alif Pamungkas,Kesehatan,3347794,5497149,Belum Terdaftar,0
28828568,UD. Zidanar Panji,Perdagangan,39969661,7398384,Terdaftar,1
28828569,UD. Winda Jayengprana,unknown,25253355,8881762,Belum Terdaftar,0
28828570,UD. Damaris Satria,Jasa,20700389,9576178,Belum Terdaftar,0
28828571,UD. Qasya Wiratama,Jasa,4820810,9456853,Belum Terdaftar,0
28828572,UD. Grego Wiraatmaja Nara,Jasa,19297316,9072119,Belum Terdaftar,0
28828573,UD. Mika Bagaskara,Perdagangan,4699257,8132674,Terdaftar,1
28828574,UD. Yora Selaras,Kesehatan,16709414,7072036,Belum Terdaftar,0
28828575,UD. Wenny Langit,Jasa,,2745878,Belum Terdaftar,0
28828576,UD. Fani Wijaya,Jasa,42552398,8136758,Belum Terdaftar,0
28828577,UD. Karim Asmaralaya,Perdagangan,4911505,7862540,Terdaftar,1
28828578,UD. Jafar Gandewa,Pendidikan,43942442,9106010,Belum Terdaftar,0
28828579,UD. Elyas Wiraatmaja,Perdagangan,21622680,4557522,Belum Terdaftar,0
28828580,UD. Erlangga Wiyata,Kesehatan,11702080,1961437,Belum Terdaftar,0
28828581,UD. Hasna Saputranegara,Kesehatan,13250815,606340,Belum Terdaftar,0
28828582,UD. Halim Surya,,19091583,5782560,Belum Terdaftar,0
28828583,UD. Farhan Mulyo,Pendidikan,42399115,7888385,Belum Terdaftar,0
28828584,UD. Farhan Sukadarma,Perdagangan,43856444,1242635,Belum Terdaftar,0
28828585,UD. Qisha Saprahan,Perdagangan,49273062,8835217,Belum Terdaftar,0
28828586,UD. Tasya Tunggul,Kesehatan,38233714,8613350,Terdaftar,1
28828587,UD. Yudi Kamajaya,Pendidikan,14384473,6784828,Terdaftar,1
28828588,UD. Putri Wiraatmaja Rafif,Perdagangan,unknown,4791730,Terdaftar,1
28828589,UD. Olivia Kusumasari,Pendidikan,33753747,7010703,Terdaftar,1
28828590,UD. Dea Tunggul Ziva,Perdagangan,46254838,3938582,Terdaftar,1
28828591,UD. Iqra Panji,Pendidikan,35105093,4765067,Belum Terdaftar,0
28828592,UD. Tono Surapati,Kesehatan,35927094,5623602,Terdaftar,1
28828593,UD. Qisha Kusumah,Perdagangan,42314822,5902996,Terdaftar,1
28828594,UD. Tari Jayeng,Pendidikan,20499344,6031918,Terdaftar,1
28828595,UD. Uli Widhi,unknown,5435097,3991688,Belum Terdaftar,0
28828596,UD. Clarissa Cahaya,Kesehatan,15602357,1501660,Terdaftar,1
28828597,UD. Nisa Hastinapura,Pendidikan,23171998,3956511,Belum Terdaftar,0
28828598,UD. Chiko Suryaatmaja,Perdagangan,3962038,2523098,Terdaftar,1
28828599,UD. Damar Panji,Kesehatan,2895777,3862258,Belum Terdaftar,0
28828600,UD. Qayla Sukarela,Kesehatan,36832017,,Terdaftar,1
28828601,UD. Kinan Buana,Perdagangan,22517544,8687490,Belum Terdaftar,0
28828602,UD. Niken Lintang,,21451451,2003545,Belum Terdaftar,0
28828603,UD. Lidya Pamungkas,Jasa,24895018,8284243,Belum Terdaftar,0
28828604,UD. Farid Agastya,Pendidikan,3900557,1435120,Belum Terdaftar,0
28828605,UD. Yumna Sentosa,Perdagangan,6939332,3298391,Belum Terdaftar,0
28828606,UD. Yusuf Suryaputra,Fashion,19493654,6119793,Belum Terdaftar,0
